pathway;interact1_ensembl;interact2_ensembl
MAPK;ENSG00000164305;ENSG00000104375
MAPK;ENSG00000127191;ENSG00000168067
MAPK;ENSG00000127191;ENSG00000197442
MAPK;ENSG00000127191;ENSG00000095015
MAPK;ENSG00000204209;ENSG00000197442
MAPK;ENSG00000130222;ENSG00000085511
MAPK;ENSG00000149269;ENSG00000169967
MAPK;ENSG00000282928;ENSG00000173327
MAPK;ENSG00000071054;ENSG00000095015
MAPK;ENSG00000011566;ENSG00000095015
MAPK;ENSG00000139625;ENSG00000076984
MAPK;ENSG00000073803;ENSG00000076984
MAPK;ENSG00000091436;ENSG00000076984
MAPK;ENSG00000197442;ENSG00000034152
MAPK;ENSG00000197442;ENSG00000108984
MAPK;ENSG00000135341;ENSG00000006062
MAPK;ENSG00000135341;ENSG00000213341
MAPK;ENSG00000135341;ENSG00000034152
MAPK;ENSG00000135341;ENSG00000108984
MAPK;ENSG00000135341;ENSG00000087095
MAPK;ENSG00000142733;ENSG00000034152
MAPK;ENSG00000142733;ENSG00000108984
MAPK;ENSG00000034152;ENSG00000112062
MAPK;ENSG00000108984;ENSG00000112062
MAPK;ENSG00000112062;ENSG00000115966
MAPK;ENSG00000112062;ENSG00000126767
MAPK;ENSG00000112062;ENSG00000141510
MAPK;ENSG00000112062;ENSG00000158711
MAPK;ENSG00000112062;ENSG00000175197
MAPK;ENSG00000112062;ENSG00000125952
MAPK;ENSG00000112062;ENSG00000081189
MAPK;ENSG00000112062;ENSG00000089022
MAPK;ENSG00000112062;ENSG00000114738
MAPK;ENSG00000112062;ENSG00000162302
MAPK;ENSG00000112062;ENSG00000101224
MAPK;ENSG00000089022;ENSG00000106211
MAPK;ENSG00000114738;ENSG00000106211
MAPK;ENSG00000114738;ENSG00000128272
MAPK;ENSG00000162302;ENSG00000128272
MAPK;ENSG00000137764;ENSG00000166484
MAPK;ENSG00000166484;ENSG00000123358
MAPK;ENSG00000107968;ENSG00000006062
MAPK;ENSG00000107968;ENSG00000213341
MAPK;ENSG00000107968;ENSG00000169032
MAPK;ENSG00000107968;ENSG00000126934
MAPK;ENSG00000095015;ENSG00000213341
MAPK;ENSG00000095015;ENSG00000065559
MAPK;ENSG00000173327;ENSG00000076984
MAPK;ENSG00000095015;ENSG00000169032
MAPK;ENSG00000095015;ENSG00000126934
MAPK;ENSG00000065559;ENSG00000107643
MAPK;ENSG00000076984;ENSG00000107643
MAPK;ENSG00000107643;ENSG00000170345
MAPK;ENSG00000107643;ENSG00000130522
MAPK;ENSG00000107643;ENSG00000126767
MAPK;ENSG00000107643;ENSG00000141510
MAPK;ENSG00000107643;ENSG00000131196
MAPK;ENSG00000107643;ENSG00000072736
MAPK;ENSG00000138814;ENSG00000131196
MAPK;ENSG00000275199;ENSG00000197442
MAPK;ENSG00000275199;ENSG00000065559
MAPK;ENSG00000138814;ENSG00000072736
MAPK;ENSG00000155903;ENSG00000133818
MAPK;ENSG00000196712;ENSG00000133818
MAPK;ENSG00000145715;ENSG00000133818
MAPK;ENSG00000108861;ENSG00000100030
MAPK;ENSG00000143507;ENSG00000100030
MAPK;ENSG00000143507;ENSG00000107643
MAPK;ENSG00000143507;ENSG00000112062
MAPK;ENSG00000108861;ENSG00000107643
MAPK;ENSG00000108861;ENSG00000112062
MAPK;ENSG00000100614;ENSG00000034152
MAPK;ENSG00000100614;ENSG00000108984
MAPK;ENSG00000100614;ENSG00000076984
MAPK;ENSG00000100614;ENSG00000065559
MAPK;ENSG00000011485;ENSG00000197442
MAPK;ENSG00000138032;ENSG00000135341
MAPK;ENSG00000085276;ENSG00000107643
MAPK;ENSG00000237724;ENSG00000107643
MAPK;ENSG00000170458;ENSG00000100324
