pathway;interact1_ensembl;interact2_ensembl
Relaxin;ENSG00000127955;ENSG00000172380
Relaxin;ENSG00000172380;ENSG00000127955
Relaxin;ENSG00000127955;ENSG00000114450
Relaxin;ENSG00000114450;ENSG00000127955
Relaxin;ENSG00000127955;ENSG00000167414
Relaxin;ENSG00000167414;ENSG00000127955
Relaxin;ENSG00000114353;ENSG00000069966
Relaxin;ENSG00000069966;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000078369
Relaxin;ENSG00000078369;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000172354
Relaxin;ENSG00000172354;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000111664
Relaxin;ENSG00000111664;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000162188
Relaxin;ENSG00000162188;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000282972
Relaxin;ENSG00000282972;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000174021
Relaxin;ENSG00000174021;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000176533
Relaxin;ENSG00000176533;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000242616
Relaxin;ENSG00000242616;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000127920
Relaxin;ENSG00000127920;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000127928
Relaxin;ENSG00000127928;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000167083
Relaxin;ENSG00000167083;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000127588
Relaxin;ENSG00000127588;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000186469
Relaxin;ENSG00000186469;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000172380
Relaxin;ENSG00000172380;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000114450
Relaxin;ENSG00000114450;ENSG00000114353
Relaxin;ENSG00000114353;ENSG00000167414
Relaxin;ENSG00000167414;ENSG00000114353
Relaxin;ENSG00000065135;ENSG00000069966
Relaxin;ENSG00000069966;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000078369
Relaxin;ENSG00000078369;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000172354
Relaxin;ENSG00000172354;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000111664
Relaxin;ENSG00000111664;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000162188
Relaxin;ENSG00000162188;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000282972
Relaxin;ENSG00000282972;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000174021
Relaxin;ENSG00000174021;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000176533
Relaxin;ENSG00000176533;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000242616
Relaxin;ENSG00000242616;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000127920
Relaxin;ENSG00000127920;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000127928
Relaxin;ENSG00000127928;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000167083
Relaxin;ENSG00000167083;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000127588
Relaxin;ENSG00000127588;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000186469
Relaxin;ENSG00000186469;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000172380
Relaxin;ENSG00000172380;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000114450
Relaxin;ENSG00000114450;ENSG00000065135
Relaxin;ENSG00000065135;ENSG00000167414
Relaxin;ENSG00000167414;ENSG00000065135
Relaxin;ENSG00000087258;ENSG00000069966
Relaxin;ENSG00000069966;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000078369
Relaxin;ENSG00000078369;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000172354
Relaxin;ENSG00000172354;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000111664
Relaxin;ENSG00000111664;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000162188
Relaxin;ENSG00000162188;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000282972
Relaxin;ENSG00000282972;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000174021
Relaxin;ENSG00000174021;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000176533
Relaxin;ENSG00000176533;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000242616
Relaxin;ENSG00000242616;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000127920
Relaxin;ENSG00000127920;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000127928
Relaxin;ENSG00000127928;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000167083
Relaxin;ENSG00000167083;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000127588
Relaxin;ENSG00000127588;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000186469
Relaxin;ENSG00000186469;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000172380
Relaxin;ENSG00000172380;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000114450
Relaxin;ENSG00000114450;ENSG00000087258
Relaxin;ENSG00000087258;ENSG00000167414
Relaxin;ENSG00000167414;ENSG00000087258
Relaxin;ENSG00000087460;ENSG00000069966
Relaxin;ENSG00000069966;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000078369
Relaxin;ENSG00000078369;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000172354
Relaxin;ENSG00000172354;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000111664
Relaxin;ENSG00000111664;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000162188
Relaxin;ENSG00000162188;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000282972
Relaxin;ENSG00000282972;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000174021
Relaxin;ENSG00000174021;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000176533
Relaxin;ENSG00000176533;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000242616
Relaxin;ENSG00000242616;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000127920
Relaxin;ENSG00000127920;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000127928
Relaxin;ENSG00000127928;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000167083
Relaxin;ENSG00000167083;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000127588
Relaxin;ENSG00000127588;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000186469
Relaxin;ENSG00000186469;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000172380
Relaxin;ENSG00000172380;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000114450
Relaxin;ENSG00000114450;ENSG00000087460
Relaxin;ENSG00000087460;ENSG00000167414
Relaxin;ENSG00000167414;ENSG00000087460
Relaxin;ENSG00000069966;ENSG00000121879
Relaxin;ENSG00000069966;ENSG00000051382
Relaxin;ENSG00000069966;ENSG00000171608
Relaxin;ENSG00000069966;ENSG00000145675
Relaxin;ENSG00000069966;ENSG00000105647
Relaxin;ENSG00000069966;ENSG00000117461
Relaxin;ENSG00000078369;ENSG00000121879
Relaxin;ENSG00000078369;ENSG00000051382
Relaxin;ENSG00000078369;ENSG00000171608
Relaxin;ENSG00000078369;ENSG00000145675
Relaxin;ENSG00000078369;ENSG00000105647
Relaxin;ENSG00000078369;ENSG00000117461
Relaxin;ENSG00000172354;ENSG00000121879
Relaxin;ENSG00000172354;ENSG00000051382
Relaxin;ENSG00000172354;ENSG00000171608
Relaxin;ENSG00000172354;ENSG00000145675
Relaxin;ENSG00000172354;ENSG00000105647
Relaxin;ENSG00000172354;ENSG00000117461
Relaxin;ENSG00000111664;ENSG00000121879
Relaxin;ENSG00000111664;ENSG00000051382
Relaxin;ENSG00000111664;ENSG00000171608
Relaxin;ENSG00000111664;ENSG00000145675
Relaxin;ENSG00000111664;ENSG00000105647
Relaxin;ENSG00000111664;ENSG00000117461
Relaxin;ENSG00000162188;ENSG00000121879
Relaxin;ENSG00000162188;ENSG00000051382
Relaxin;ENSG00000162188;ENSG00000171608
Relaxin;ENSG00000162188;ENSG00000145675
Relaxin;ENSG00000162188;ENSG00000105647
Relaxin;ENSG00000162188;ENSG00000117461
Relaxin;ENSG00000282972;ENSG00000121879
Relaxin;ENSG00000282972;ENSG00000051382
Relaxin;ENSG00000282972;ENSG00000171608
Relaxin;ENSG00000282972;ENSG00000145675
Relaxin;ENSG00000282972;ENSG00000105647
Relaxin;ENSG00000282972;ENSG00000117461
Relaxin;ENSG00000174021;ENSG00000121879
Relaxin;ENSG00000174021;ENSG00000051382
Relaxin;ENSG00000174021;ENSG00000171608
Relaxin;ENSG00000174021;ENSG00000145675
Relaxin;ENSG00000174021;ENSG00000105647
Relaxin;ENSG00000174021;ENSG00000117461
Relaxin;ENSG00000176533;ENSG00000121879
Relaxin;ENSG00000176533;ENSG00000051382
Relaxin;ENSG00000176533;ENSG00000171608
Relaxin;ENSG00000176533;ENSG00000145675
Relaxin;ENSG00000176533;ENSG00000105647
Relaxin;ENSG00000176533;ENSG00000117461
Relaxin;ENSG00000242616;ENSG00000121879
Relaxin;ENSG00000242616;ENSG00000051382
Relaxin;ENSG00000242616;ENSG00000171608
Relaxin;ENSG00000242616;ENSG00000145675
Relaxin;ENSG00000242616;ENSG00000105647
Relaxin;ENSG00000242616;ENSG00000117461
Relaxin;ENSG00000127920;ENSG00000121879
Relaxin;ENSG00000127920;ENSG00000051382
Relaxin;ENSG00000127920;ENSG00000171608
Relaxin;ENSG00000127920;ENSG00000145675
Relaxin;ENSG00000127920;ENSG00000105647
Relaxin;ENSG00000127920;ENSG00000117461
Relaxin;ENSG00000127928;ENSG00000121879
Relaxin;ENSG00000127928;ENSG00000051382
Relaxin;ENSG00000127928;ENSG00000171608
Relaxin;ENSG00000127928;ENSG00000145675
Relaxin;ENSG00000127928;ENSG00000105647
Relaxin;ENSG00000127928;ENSG00000117461
Relaxin;ENSG00000167083;ENSG00000121879
Relaxin;ENSG00000167083;ENSG00000051382
Relaxin;ENSG00000167083;ENSG00000171608
Relaxin;ENSG00000167083;ENSG00000145675
Relaxin;ENSG00000167083;ENSG00000105647
Relaxin;ENSG00000167083;ENSG00000117461
Relaxin;ENSG00000127588;ENSG00000121879
Relaxin;ENSG00000127588;ENSG00000051382
Relaxin;ENSG00000127588;ENSG00000171608
Relaxin;ENSG00000127588;ENSG00000145675
Relaxin;ENSG00000127588;ENSG00000105647
Relaxin;ENSG00000127588;ENSG00000117461
Relaxin;ENSG00000186469;ENSG00000121879
Relaxin;ENSG00000186469;ENSG00000051382
Relaxin;ENSG00000186469;ENSG00000171608
Relaxin;ENSG00000186469;ENSG00000145675
Relaxin;ENSG00000186469;ENSG00000105647
Relaxin;ENSG00000186469;ENSG00000117461
Relaxin;ENSG00000172380;ENSG00000121879
Relaxin;ENSG00000172380;ENSG00000051382
Relaxin;ENSG00000172380;ENSG00000171608
Relaxin;ENSG00000172380;ENSG00000145675
Relaxin;ENSG00000172380;ENSG00000105647
Relaxin;ENSG00000172380;ENSG00000117461
Relaxin;ENSG00000114450;ENSG00000121879
Relaxin;ENSG00000114450;ENSG00000051382
Relaxin;ENSG00000114450;ENSG00000171608
Relaxin;ENSG00000114450;ENSG00000145675
Relaxin;ENSG00000114450;ENSG00000105647
Relaxin;ENSG00000114450;ENSG00000117461
